country,shop_id,item_id
sg,268706552,28457123615
sg,268706552,16473412786
sg,268706552,58009536219
sg,268706552,41528715701
sg,268706552,44301398956
sg,268706552,19507418241
sg,268706552,20148100685
sg,268706552,16906044497
sg,268706552,40515002483
sg,268706552,19609416799
sg,268706552,19007329869
sg,268706552,54103427703
sg,268706552,19673890780
sg,268706552,21807279838
sg,268706552,21307319595
sg,268706552,18809437151
sg,268706552,19309434502
sg,268706552,24318913230
sg,268706552,25518916791
sg,268706552,45856102687
sg,268706552,42811596436
sg,268706552,21409982644
sg,268706552,13011421251
sg,268706552,54959545600
sg,268706552,12111446919
sg,268706552,11249745254
sg,268706552,6595738450
sg,268706552,13532208318
sg,268706552,11421386007
sg,268706552,21148204985
sg,268706552,40061618184
sg,268706552,11698041787
sg,268706552,20309534689
sg,268706552,26957135736
sg,268706552,49609565693
sg,268706552,26307136121
sg,268706552,10696374109
sg,268706552,20314681674
sg,268706552,24518914754
sg,268706552,3744228375
sg,268706552,15096504697
sg,268706552,52356086664
sg,268706552,27140527069
sg,268706552,17822384256
sg,268706552,8382967837
sg,268706552,15786920540
sg,268706552,7544125119
sg,268706552,43070654880
sg,268706552,10521384273
sg,268706552,21207331761
sg,268706552,7844123567
sg,268706552,43972212142
sg,268706552,13713707269
sg,268706552,6844124076
sg,268706552,7044129695
sg,268706552,20447982770
sg,268706552,9379906640
sg,268706552,21309410512
sg,268706552,20973932609
sg,268706552,23026072134
sg,268706552,42311579646
sg,268706552,41120684149
sg,268706552,26341424258
sg,268706552,42571555564
sg,268706552,4268719335
sg,268706552,6153923236
sg,268706552,19209429619
sg,268706552,26591969388
sg,268706552,18673934452
sg,268706552,42911579440
sg,268706552,54003422627
sg,268706552,50806077568
sg,268706552,19407323695
sg,268706552,22536033076
sg,299390717,18368852267
sg,299390717,3278029366
sg,299390717,4777905702
sg,299390717,6477528187
sg,299390717,12383403113
sg,299390717,5077900362
sg,299390717,8611180813
sg,299390717,9711192168
sg,299390717,9611846189
sg,299390717,8711446448
sg,299390717,5877630694
sg,299390717,3578043466
sg,299390717,6478288596
sg,299390717,4277894777
sg,299390717,8111813742
sg,299390717,45710356702
sg,299390717,3578374385
sg,299390717,7878304392
sg,299390717,4777949057
sg,299390717,24222389024
sg,299390717,3578428857
sg,299390717,4478327871
sg,299390717,19478355006
sg,299390717,20895895366
